niva,kod,namn,val,parti,andel
kommun,0586,,KF,L,8.24
kommun,0586,,KF,M,20.03
kommun,0586,,KF,MP,2.07
kommun,0586,,KF,S,31.7
kommun,0586,,KF,SD,19.39
kommun,0586,,KF,V,5.86
kommun,0604,,KF,C,19.45
kommun,0604,,KF,KD,11.64
kommun,0604,,KF,Kristna Värdepartiet,1.77
kommun,0604,,KF,L,4.44
kommun,0604,,KF,M,18.73
kommun,0604,,KF,S,22.01
kommun,0604,,KF,SD,17.48
kommun,0604,,KF,V,4.24
kommun,0617,,KF,C,14.01
kommun,0617,,KF,KD,16.35
kommun,0617,,KF,M,22.78
kommun,0617,,KF,S,24.5
kommun,0617,,KF,SD,16.98
kommun,0617,,KF,V,3.77
kommun,0642,,KF,C,3.36
kommun,0642,,KF,KD,17.88
kommun,0642,,KF,L,2.48
kommun,0642,,KF,M,23.91
kommun,0642,,KF,MP,3.9
kommun,0642,,KF,S,24.2
kommun,0642,,KF,SD,17.72
kommun,0642,,KF,V,5.76
kommun,0643,,KF,C,6.49
kommun,0643,,KF,Habodemokraterna,4.06
kommun,0643,,KF,KD,13.25
kommun,0643,,KF,L,4.86
kommun,0643,,KF,M,25.73
kommun,0643,,KF,MP,2.1
kommun,0643,,KF,S,26.07
kommun,0643,,KF,SD,14.06
kommun,0643,,KF,V,3.17
kommun,0662,,KF,C,7.95
kommun,0662,,KF,KD,3.95
kommun,0662,,KF,Kommunistiska Partiet,1.56
kommun,0662,,KF,L,2.93
kommun,0662,,KF,M,16.85
kommun,0662,,KF,Medborgarpartiet i Gislaved,18.51
kommun,0662,,KF,S,19.46
kommun,0662,,KF,SD,13.97
kommun,0662,,KF,V,3.15
kommun,0662,,KF,Westbopartiet,10.65
kommun,0665,,KF,C,9.75
kommun,0665,,KF,EMPA(R)TIET,4.95
kommun,0665,,KF,KD,10.42
kommun,0665,,KF,L,5.48
kommun,0665,,KF,M,17.98
kommun,0665,,KF,MP,1.54
kommun,0665,,KF,S,29.92
kommun,0665,,KF,SD,16.18
kommun,0665,,KF,V,3.09
kommun,0680,,KF,C,8.41
kommun,0680,,KF,KD,14.48
kommun,0680,,KF,L,4.09
kommun,0680,,KF,M,17.78
kommun,0680,,KF,MP,3.57
kommun,0680,,KF,S,28.85
kommun,0680,,KF,SD,15.27
kommun,0680,,KF,V,6.22
