kommunkod,syssgrad,arbloshet,arbloshet_ung,langtidsarbl,medianink,lag_ekstand,ekbistand,gini,hyresratt,trangbodd,brott,tathet,tatortsgrad,utrikesfodda,medelalder,ensamhushall,valdeltagande
1442,85.9,3.622449,3.675176,2.664896,371400.0,13.0,2.160091,0.275,29.369958,16.232558,7231.67539,28.55133615,55.0,14.003913,41.5,41.847015,88.0
1443,88.5,2.445302,2.793615,1.948751,396200.0,8.0,1.937545,0.281,22.765432,9.050279,6774.57723,36.58805211,66.0,10.780171,42.2,37.429482,90.0
1444,86.1,2.645706,3.382838,1.830218,363500.0,14.0,1.257527,0.282,25.488069,10.474632,6715.8931,21.65123748,54.0,7.616011,45.8,44.931303,89.0
1445,84.3,4.012589,4.788419,2.884407,352300.0,17.0,3.533322,0.257,27.602816,13.670412,6272.44853,24.29436343,46.0,9.72538,44.9,43.183549,88.0
1446,82.6,3.104359,2.011494,1.923594,370600.0,13.0,2.706533,0.267,33.215458,5.833333,6917.70075,17.15728538,77.0,9.224883,47.0,46.278409,90.0
1447,77.5,6.653809,5.080321,4.082999,337400.0,23.0,5.371583,0.311,26.896067,20.725389,8500.0,16.50393102,67.0,17.135156,48.8,48.63409,84.0
1452,86.4,2.600686,2.947061,1.833933,372200.0,14.0,1.340034,0.298,31.270068,16.862745,6943.92092,16.1053995,73.0,17.370184,44.4,42.201153,87.0
1460,78.2,6.23061,3.209046,4.433116,345400.0,21.0,4.527283,0.288,36.025443,16.554433,7629.66138,10.65571914,70.0,18.995138,47.8,50.455219,85.0
1461,78.6,6.222902,4.634196,4.494438,334700.0,23.0,3.627335,0.301,31.176717,25.508197,9562.35497,18.04095616,59.0,18.611681,45.8,47.469498,85.0
1462,83.3,3.671051,3.539707,2.597868,369300.0,14.0,2.418908,0.251,27.198269,18.061271,9330.61478,45.97275032,69.0,18.020516,41.7,42.65216,84.0
1463,84.9,2.906515,2.455111,1.914324,362300.0,14.0,2.137055,0.287,31.512709,17.851264,7837.79951,37.88312527,69.0,13.696963,43.3,43.632817,87.0
1465,82.8,3.662851,3.20161,2.442124,347500.0,17.0,2.588757,0.289,29.594411,20.200334,10442.80442,11.8131898,63.0,15.735947,44.5,43.604298,85.0
1466,84.2,2.772686,3.465063,1.867336,359400.0,15.0,2.06998,0.296,30.494148,13.58811,8413.08234,19.09940698,56.0,12.388358,44.3,44.638801,88.0
1470,82.3,3.435583,3.214205,1.891554,352100.0,17.0,3.353338,0.297,28.361858,19.445545,11062.64501,23.19260684,59.0,12.058405,44.1,45.105873,86.0
