niva,kod,year,val,parti,andel
kommun,0186,2022,RF,MP,3.39
kommun,0186,2022,RF,KD,11.17
kommun,0186,2022,RF,SD,7.34
kommun,0187,2022,KF,M,25.02
kommun,0187,2022,KF,S,13.86
kommun,0187,2022,KF,L,4.75
kommun,0187,2022,KF,C,12.72
kommun,0187,2022,KF,V,6.47
kommun,0187,2022,KF,MP,2.84
kommun,0187,2022,KF,KD,2.8
kommun,0187,2022,KF,SD,6.92
kommun,0187,2022,KF,Waxholmspartiet - borgerligt alternativ,19.46
kommun,0187,2022,KF,Vaxholmsdemokraterna,4.8
kommun,0187,2022,RD,M,28.68
kommun,0187,2022,RD,S,22.37
kommun,0187,2022,RD,L,7.9
kommun,0187,2022,RD,C,10.07
kommun,0187,2022,RD,V,2.91
kommun,0187,2022,RD,MP,6.26
kommun,0187,2022,RD,KD,5.23
kommun,0187,2022,RD,SD,15.64
kommun,0187,2022,RF,M,25.85
kommun,0187,2022,RF,S,28.46
kommun,0187,2022,RF,L,6.9
kommun,0187,2022,RF,C,9.35
kommun,0187,2022,RF,V,5.14
kommun,0187,2022,RF,MP,3.18
kommun,0187,2022,RF,KD,10.04
kommun,0187,2022,RF,SD,10.01
kommun,0188,2022,KF,M,25.11
kommun,0188,2022,KF,S,27.76
kommun,0188,2022,KF,L,6.25
kommun,0188,2022,KF,C,6.92
kommun,0188,2022,KF,V,5.15
kommun,0188,2022,KF,MP,3.17
kommun,0188,2022,KF,KD,3.65
kommun,0188,2022,KF,SD,19.19
kommun,0188,2022,KF,Roslagens oberoende parti,1.6
kommun,0188,2022,RD,M,20.65
kommun,0188,2022,RD,S,29.15
kommun,0188,2022,RD,L,4.2
kommun,0188,2022,RD,C,6.26
kommun,0188,2022,RD,V,4.64
kommun,0188,2022,RD,MP,4.04
kommun,0188,2022,RD,KD,4.74
kommun,0188,2022,RD,SD,25.17
kommun,0188,2022,RF,M,20.96
kommun,0188,2022,RF,S,32.35
kommun,0188,2022,RF,L,4.56
kommun,0188,2022,RF,C,5.87
kommun,0188,2022,RF,V,6.26
